Provincias con mayor número de pernoctaciones;Periodo;Total
02 Albacete;2026M06;2,54
02 Albacete;2026M05;2,61
02 Albacete;2026M04;2,68
02 Albacete;2026M03;2,48
02 Albacete;2026M02;2,96
02 Albacete;2026M01;3,07
02 Albacete;2025M12;2,58
02 Albacete;2025M11;2,22
02 Albacete;2025M10;2,25
02 Albacete;2025M09;2,32
02 Albacete;2025M08;3,17
02 Albacete;2025M07;2,77
02 Albacete;2025M06;2,29
02 Albacete;2025M05;2,32
02 Albacete;2025M04;2,44
02 Albacete;2025M03;2,25
02 Albacete;2025M02;2,3
02 Albacete;2025M01;2,47
02 Albacete;2024M12;2,67
02 Albacete;2024M11;2,18
02 Albacete;2024M10;2,22
02 Albacete;2024M09;2,32
02 Albacete;2024M08;3,49
02 Albacete;2024M07;3,04
02 Albacete;2024M06;2,22
02 Albacete;2024M05;2,24
02 Albacete;2024M04;2,2
02 Albacete;2024M03;2,53
02 Albacete;2024M02;2,16
02 Albacete;2024M01;2,15
02 Albacete;2023M12;2,48
02 Albacete;2023M11;2,04
02 Albacete;2023M10;2,33
02 Albacete;2023M09;2,49
02 Albacete;2023M08;4,08
02 Albacete;2023M07;3,04
02 Albacete;2023M06;2,13
02 Albacete;2023M05;2,23
02 Albacete;2023M04;2,65
02 Albacete;2023M03;2,09
02 Albacete;2023M02;2,11
02 Albacete;2023M01;2,02
02 Albacete;2022M12;2,31
02 Albacete;2022M11;2,02
02 Albacete;2022M10;2,17
02 Albacete;2022M09;2,51
02 Albacete;2022M08;3,72
02 Albacete;2022M07;2,77
02 Albacete;2022M06;2,32
02 Albacete;2022M05;2,12
02 Albacete;2022M04;2,61
02 Albacete;2022M03;2,45
02 Albacete;2022M02;2,23
02 Albacete;2022M01;2,32
02 Albacete;2021M12;2,57
02 Albacete;2021M11;2,36
02 Albacete;2021M10;2,42
02 Albacete;2021M09;2,7
02 Albacete;2021M08;4,08
02 Albacete;2021M07;3,2
02 Albacete;2021M06;2,18
02 Albacete;2021M05;2,34
02 Albacete;2021M04;2,71
02 Albacete;2021M03;3,05
02 Albacete;2021M02;7,26
02 Albacete;2021M01;29,29
02 Albacete;2020M12;5,72
02 Albacete;2020M11;7,96
02 Albacete;2020M10;2,96
02 Albacete;2020M09;2,88
02 Albacete;2020M08;3,69
02 Albacete;2020M07;2,96
02 Albacete;2020M06;2,86
02 Albacete;2020M05;2,96
02 Albacete;2020M04;.
02 Albacete;2020M03;2,76
02 Albacete;2020M02;2,14
02 Albacete;2020M01;2
02 Albacete;2019M12;2,38
02 Albacete;2019M11;2,13
02 Albacete;2019M10;2,03
02 Albacete;2019M09;2,31
02 Albacete;2019M08;3,51
02 Albacete;2019M07;2,7
02 Albacete;2019M06;2,04
02 Albacete;2019M05;2,18
02 Albacete;2019M04;2,29
02 Albacete;2019M03;1,89
02 Albacete;2019M02;2,02
02 Albacete;2019M01;2,1
02 Albacete;2018M12;2,54
02 Albacete;2018M11;2,01
02 Albacete;2018M10;2,23
02 Albacete;2018M09;2,04
02 Albacete;2018M08;3,51
02 Albacete;2018M07;2,79
02 Albacete;2018M06;2,09
02 Albacete;2018M05;2,15
02 Albacete;2018M04;2,16
02 Albacete;2018M03;2,42
02 Albacete;2018M02;2,17
02 Albacete;2018M01;2,19
02 Albacete;2017M12;2,59
02 Albacete;2017M11;2,15
02 Albacete;2017M10;2,19
02 Albacete;2017M09;2,24
02 Albacete;2017M08;4,02
02 Albacete;2017M07;2,4
02 Albacete;2017M06;1,85
02 Albacete;2017M05;1,97
02 Albacete;2017M04;2,58
02 Albacete;2017M03;1,87
02 Albacete;2017M02;1,98
02 Albacete;2017M01;2,36
02 Albacete;2016M12;2,32
02 Albacete;2016M11;2,14
02 Albacete;2016M10;2,2
02 Albacete;2016M09;2,21
02 Albacete;2016M08;3,76
02 Albacete;2016M07;2,97
02 Albacete;2016M06;2,2
02 Albacete;2016M05;2,19
02 Albacete;2016M04;2,23
02 Albacete;2016M03;2,99
02 Albacete;2016M02;2,11
02 Albacete;2016M01;2,58
02 Albacete;2015M12;2,6
02 Albacete;2015M11;2,35
02 Albacete;2015M10;2,4
02 Albacete;2015M09;2,6
02 Albacete;2015M08;4,92
02 Albacete;2015M07;3,08
02 Albacete;2015M06;2,04
02 Albacete;2015M05;2,3
02 Albacete;2015M04;2,47
02 Albacete;2015M03;2,23
02 Albacete;2015M02;2,07
02 Albacete;2015M01;2,66
02 Albacete;2014M12;2,37
02 Albacete;2014M11;2,04
02 Albacete;2014M10;2,03
02 Albacete;2014M09;2,57
02 Albacete;2014M08;4,24
02 Albacete;2014M07;3,79
02 Albacete;2014M06;2,26
02 Albacete;2014M05;2,14
02 Albacete;2014M04;2,83
02 Albacete;2014M03;2,23
02 Albacete;2014M02;1,97
02 Albacete;2014M01;2,41
02 Albacete;2013M12;2,5
02 Albacete;2013M11;2,36
02 Albacete;2013M10;2,29
02 Albacete;2013M09;3,06
02 Albacete;2013M08;4,4
02 Albacete;2013M07;3,38
02 Albacete;2013M06;2,13
02 Albacete;2013M05;2,44
02 Albacete;2013M04;2,02
02 Albacete;2013M03;2,66
02 Albacete;2013M02;2,04
02 Albacete;2013M01;2,08
02 Albacete;2012M12;3,13
02 Albacete;2012M11;4,16
02 Albacete;2012M10;2,37
02 Albacete;2012M09;3,6
02 Albacete;2012M08;4,58
02 Albacete;2012M07;2,38
02 Albacete;2012M06;2,51
02 Albacete;2012M05;2,14
02 Albacete;2012M04;3,1
02 Albacete;2012M03;2,38
02 Albacete;2012M02;2,07
02 Albacete;2012M01;3,13
02 Albacete;2011M12;2,14
02 Albacete;2011M11;2,11
02 Albacete;2011M10;2,3
02 Albacete;2011M09;2,49
02 Albacete;2011M08;4,26
02 Albacete;2011M07;2,33
02 Albacete;2011M06;2,58
02 Albacete;2011M05;2,42
02 Albacete;2011M04;2,69
02 Albacete;2011M03;2,35
02 Albacete;2011M02;2,39
02 Albacete;2011M01;2,96
02 Albacete;2010M12;4,02
02 Albacete;2010M11;2,55
02 Albacete;2010M10;3,18
02 Albacete;2010M09;2,98
02 Albacete;2010M08;6,52
02 Albacete;2010M07;3,73
02 Albacete;2010M06;2,5
02 Albacete;2010M05;2,17
02 Albacete;2010M04;3,1
02 Albacete;2010M03;2,63
02 Albacete;2010M02;2,49
02 Albacete;2010M01;2,84
02 Albacete;2009M12;3,17
02 Albacete;2009M11;2,04
02 Albacete;2009M10;2,79
02 Albacete;2009M09;3,01
02 Albacete;2009M08;5,57
02 Albacete;2009M07;2,94
02 Albacete;2009M06;2,44
02 Albacete;2009M05;2,68
02 Albacete;2009M04;2,87
02 Albacete;2009M03;2,45
02 Albacete;2009M02;2,46
02 Albacete;2009M01;6,32
02 Albacete;2008M12;2,75
02 Albacete;2008M11;1,89
02 Albacete;2008M10;2,46
02 Albacete;2008M09;2,64
02 Albacete;2008M08;4,65
02 Albacete;2008M07;3,18
02 Albacete;2008M06;2,35
02 Albacete;2008M05;3,34
02 Albacete;2008M04;2,2
02 Albacete;2008M03;3,6
02 Albacete;2008M02;1,91
02 Albacete;2008M01;2,72
02 Albacete;2007M12;2,81
02 Albacete;2007M11;2,7
02 Albacete;2007M10;2,56
02 Albacete;2007M09;2,36
02 Albacete;2007M08;4,46
02 Albacete;2007M07;3,55
02 Albacete;2007M06;2,35
02 Albacete;2007M05;2,33
02 Albacete;2007M04;3,14
02 Albacete;2007M03;2,04
02 Albacete;2007M02;2,14
02 Albacete;2007M01;2,25
02 Albacete;2006M12;2,88
02 Albacete;2006M11;2,17
02 Albacete;2006M10;2,53
02 Albacete;2006M09;2,49
02 Albacete;2006M08;5,14
02 Albacete;2006M07;3,1
02 Albacete;2006M06;2,01
02 Albacete;2006M05;2,36
02 Albacete;2006M04;2,84
02 Albacete;2006M03;2,23
02 Albacete;2006M02;2,05
02 Albacete;2006M01;2,15
02 Albacete;2005M12;2,38
02 Albacete;2005M11;2,11
02 Albacete;2005M10;2,44
02 Albacete;2005M09;2,82
02 Albacete;2005M08;5,97
02 Albacete;2005M07;2,77
02 Albacete;2005M06;1,96
02 Albacete;2005M05;2,66
02 Albacete;2005M04;1,95
02 Albacete;2005M03;3,71
02 Albacete;2005M02;2,24
02 Albacete;2005M01;2,31
03 Alicante/Alacant;2026M06;2,4
03 Alicante/Alacant;2026M05;2,51
03 Alicante/Alacant;2026M04;2,52
03 Alicante/Alacant;2026M03;2,03
03 Alicante/Alacant;2026M02;2,23
03 Alicante/Alacant;2026M01;2,24
03 Alicante/Alacant;2025M12;2,58
03 Alicante/Alacant;2025M11;2,21
03 Alicante/Alacant;2025M10;2,42
03 Alicante/Alacant;2025M09;2,93
03 Alicante/Alacant;2025M08;3,3
03 Alicante/Alacant;2025M07;3,33
03 Alicante/Alacant;2025M06;2,53
03 Alicante/Alacant;2025M05;2,43
03 Alicante/Alacant;2025M04;2,74
03 Alicante/Alacant;2025M03;2,34
03 Alicante/Alacant;2025M02;1,91
03 Alicante/Alacant;2025M01;1,7
03 Alicante/Alacant;2024M12;2,23
03 Alicante/Alacant;2024M11;2,05
03 Alicante/Alacant;2024M10;2,16
03 Alicante/Alacant;2024M09;2,18
03 Alicante/Alacant;2024M08;2,82
03 Alicante/Alacant;2024M07;2,64
03 Alicante/Alacant;2024M06;2,11
03 Alicante/Alacant;2024M05;2,25
03 Alicante/Alacant;2024M04;2,51
03 Alicante/Alacant;2024M03;2,31
03 Alicante/Alacant;2024M02;1,95
03 Alicante/Alacant;2024M01;1,66
03 Alicante/Alacant;2023M12;2,12
03 Alicante/Alacant;2023M11;2,21
03 Alicante/Alacant;2023M10;1,84
03 Alicante/Alacant;2023M09;2,03
03 Alicante/Alacant;2023M08;2,5
03 Alicante/Alacant;2023M07;2,06
03 Alicante/Alacant;2023M06;2,09
03 Alicante/Alacant;2023M05;2,06
03 Alicante/Alacant;2023M04;2,29
03 Alicante/Alacant;2023M03;2,2
03 Alicante/Alacant;2023M02;1,97
03 Alicante/Alacant;2023M01;1,97
03 Alicante/Alacant;2022M12;2,34
03 Alicante/Alacant;2022M11;2,3
03 Alicante/Alacant;2022M10;2,21
03 Alicante/Alacant;2022M09;2,2
03 Alicante/Alacant;2022M08;3,68
03 Alicante/Alacant;2022M07;2,8
03 Alicante/Alacant;2022M06;2,39
03 Alicante/Alacant;2022M05;2,3
03 Alicante/Alacant;2022M04;2,61
03 Alicante/Alacant;2022M03;2,54
03 Alicante/Alacant;2022M02;2,6
03 Alicante/Alacant;2022M01;2,57
03 Alicante/Alacant;2021M12;2,56
03 Alicante/Alacant;2021M11;2,36
03 Alicante/Alacant;2021M10;2,48
03 Alicante/Alacant;2021M09;2,35
03 Alicante/Alacant;2021M08;3,91
03 Alicante/Alacant;2021M07;3,46
03 Alicante/Alacant;2021M06;2,67
03 Alicante/Alacant;2021M05;2,27
03 Alicante/Alacant;2021M04;2,16
03 Alicante/Alacant;2021M03;2,37
03 Alicante/Alacant;2021M02;3,15
03 Alicante/Alacant;2021M01;2,61
03 Alicante/Alacant;2020M12;2,07
03 Alicante/Alacant;2020M11;2,2
03 Alicante/Alacant;2020M10;2,12
03 Alicante/Alacant;2020M09;1,95
03 Alicante/Alacant;2020M08;2,96
03 Alicante/Alacant;2020M07;3,11
03 Alicante/Alacant;2020M06;2,09
03 Alicante/Alacant;2020M05;3,09
03 Alicante/Alacant;2020M04;.
03 Alicante/Alacant;2020M03;2,81
03 Alicante/Alacant;2020M02;1,86
03 Alicante/Alacant;2020M01;2,26
03 Alicante/Alacant;2019M12;2,5
03 Alicante/Alacant;2019M11;2,27
03 Alicante/Alacant;2019M10;2,44
03 Alicante/Alacant;2019M09;2,51
03 Alicante/Alacant;2019M08;3,03
03 Alicante/Alacant;2019M07;3,14
03 Alicante/Alacant;2019M06;2,11
03 Alicante/Alacant;2019M05;2,47
03 Alicante/Alacant;2019M04;2,57
03 Alicante/Alacant;2019M03;2,25
03 Alicante/Alacant;2019M02;1,87
03 Alicante/Alacant;2019M01;2,45
03 Alicante/Alacant;2018M12;2,6
03 Alicante/Alacant;2018M11;2,29
03 Alicante/Alacant;2018M10;2,47
03 Alicante/Alacant;2018M09;2,53
03 Alicante/Alacant;2018M08;3,58
03 Alicante/Alacant;2018M07;3,76
03 Alicante/Alacant;2018M06;2,53
03 Alicante/Alacant;2018M05;2,51
03 Alicante/Alacant;2018M04;2,52
03 Alicante/Alacant;2018M03;2,9
03 Alicante/Alacant;2018M02;2,07
03 Alicante/Alacant;2018M01;2,4
03 Alicante/Alacant;2017M12;2,65
03 Alicante/Alacant;2017M11;2,42
03 Alicante/Alacant;2017M10;2,63
03 Alicante/Alacant;2017M09;2,91
03 Alicante/Alacant;2017M08;4,22
03 Alicante/Alacant;2017M07;3,67
03 Alicante/Alacant;2017M06;2,52
03 Alicante/Alacant;2017M05;2,59
03 Alicante/Alacant;2017M04;2,74
03 Alicante/Alacant;2017M03;2,51
03 Alicante/Alacant;2017M02;2,44
03 Alicante/Alacant;2017M01;2,26
03 Alicante/Alacant;2016M12;2,4
03 Alicante/Alacant;2016M11;2,11
03 Alicante/Alacant;2016M10;2,6
03 Alicante/Alacant;2016M09;2,95
03 Alicante/Alacant;2016M08;4,25
03 Alicante/Alacant;2016M07;3,81
03 Alicante/Alacant;2016M06;2,41
03 Alicante/Alacant;2016M05;2,48
03 Alicante/Alacant;2016M04;2,69
03 Alicante/Alacant;2016M03;3,04
03 Alicante/Alacant;2016M02;2,96
03 Alicante/Alacant;2016M01;3,63
03 Alicante/Alacant;2015M12;3,2
03 Alicante/Alacant;2015M11;2,93
03 Alicante/Alacant;2015M10;3,05
03 Alicante/Alacant;2015M09;3,33
03 Alicante/Alacant;2015M08;4,62
03 Alicante/Alacant;2015M07;4
03 Alicante/Alacant;2015M06;3,05
03 Alicante/Alacant;2015M05;3,01
03 Alicante/Alacant;2015M04;3,23
03 Alicante/Alacant;2015M03;2,78
03 Alicante/Alacant;2015M02;3,86
03 Alicante/Alacant;2015M01;3,82
03 Alicante/Alacant;2014M12;2,72
03 Alicante/Alacant;2014M11;2,46
03 Alicante/Alacant;2014M10;2,57
03 Alicante/Alacant;2014M09;2,83
03 Alicante/Alacant;2014M08;3,9
03 Alicante/Alacant;2014M07;3,41
03 Alicante/Alacant;2014M06;2,87
03 Alicante/Alacant;2014M05;3,45
03 Alicante/Alacant;2014M04;3,04
03 Alicante/Alacant;2014M03;2,56
03 Alicante/Alacant;2014M02;3,38
03 Alicante/Alacant;2014M01;2,92
03 Alicante/Alacant;2013M12;3,14
03 Alicante/Alacant;2013M11;2,2
03 Alicante/Alacant;2013M10;2,47
03 Alicante/Alacant;2013M09;3,28
03 Alicante/Alacant;2013M08;6,17
03 Alicante/Alacant;2013M07;4,52
03 Alicante/Alacant;2013M06;3,25
03 Alicante/Alacant;2013M05;2,36
03 Alicante/Alacant;2013M04;2,33
03 Alicante/Alacant;2013M03;2,59
03 Alicante/Alacant;2013M02;2,53
03 Alicante/Alacant;2013M01;4,62
03 Alicante/Alacant;2012M12;2,77
03 Alicante/Alacant;2012M11;2,5
03 Alicante/Alacant;2012M10;2,56
03 Alicante/Alacant;2012M09;3,51
03 Alicante/Alacant;2012M08;4,52
03 Alicante/Alacant;2012M07;2,88
03 Alicante/Alacant;2012M06;2,32
03 Alicante/Alacant;2012M05;2,33
03 Alicante/Alacant;2012M04;2,74
03 Alicante/Alacant;2012M03;2,35
03 Alicante/Alacant;2012M02;1,88
03 Alicante/Alacant;2012M01;2,65
03 Alicante/Alacant;2011M12;2,27
03 Alicante/Alacant;2011M11;1,67
03 Alicante/Alacant;2011M10;2,49
03 Alicante/Alacant;2011M09;2,69
03 Alicante/Alacant;2011M08;4,84
03 Alicante/Alacant;2011M07;3,43
03 Alicante/Alacant;2011M06;2,59
03 Alicante/Alacant;2011M05;3,54
03 Alicante/Alacant;2011M04;2,59
03 Alicante/Alacant;2011M03;2,58
03 Alicante/Alacant;2011M02;3,06
03 Alicante/Alacant;2011M01;4,4
03 Alicante/Alacant;2010M12;2,84
03 Alicante/Alacant;2010M11;2,77
03 Alicante/Alacant;2010M10;2,24
03 Alicante/Alacant;2010M09;3,26
03 Alicante/Alacant;2010M08;4,66
03 Alicante/Alacant;2010M07;4,79
03 Alicante/Alacant;2010M06;2,57
03 Alicante/Alacant;2010M05;2,5
03 Alicante/Alacant;2010M04;3,6
03 Alicante/Alacant;2010M03;2,76
03 Alicante/Alacant;2010M02;2,46
03 Alicante/Alacant;2010M01;3,22
03 Alicante/Alacant;2009M12;1,96
03 Alicante/Alacant;2009M11;1,96
03 Alicante/Alacant;2009M10;2,86
03 Alicante/Alacant;2009M09;2,37
03 Alicante/Alacant;2009M08;4,26
03 Alicante/Alacant;2009M07;4,28
03 Alicante/Alacant;2009M06;2,45
03 Alicante/Alacant;2009M05;2,04
03 Alicante/Alacant;2009M04;2,75
03 Alicante/Alacant;2009M03;2,54
03 Alicante/Alacant;2009M02;2,16
03 Alicante/Alacant;2009M01;4,32
03 Alicante/Alacant;2008M12;2,29
03 Alicante/Alacant;2008M11;1,91
03 Alicante/Alacant;2008M10;2,74
03 Alicante/Alacant;2008M09;3,4
03 Alicante/Alacant;2008M08;5,66
03 Alicante/Alacant;2008M07;4,88
03 Alicante/Alacant;2008M06;2,88
03 Alicante/Alacant;2008M05;2,31
03 Alicante/Alacant;2008M04;2,54
03 Alicante/Alacant;2008M03;3,13
03 Alicante/Alacant;2008M02;2,75
03 Alicante/Alacant;2008M01;2,57
03 Alicante/Alacant;2007M12;2,68
03 Alicante/Alacant;2007M11;2,08
03 Alicante/Alacant;2007M10;2,55
03 Alicante/Alacant;2007M09;2,52
03 Alicante/Alacant;2007M08;5,36
03 Alicante/Alacant;2007M07;3,55
03 Alicante/Alacant;2007M06;2,55
03 Alicante/Alacant;2007M05;2,57
03 Alicante/Alacant;2007M04;2,94
03 Alicante/Alacant;2007M03;2
03 Alicante/Alacant;2007M02;2,21
03 Alicante/Alacant;2007M01;2,45
03 Alicante/Alacant;2006M12;2,25
03 Alicante/Alacant;2006M11;2,66
03 Alicante/Alacant;2006M10;2,86
03 Alicante/Alacant;2006M09;2,85
03 Alicante/Alacant;2006M08;4,95
03 Alicante/Alacant;2006M07;3,39
03 Alicante/Alacant;2006M06;1,93
03 Alicante/Alacant;2006M05;2,31
03 Alicante/Alacant;2006M04;2,56
03 Alicante/Alacant;2006M03;2,05
03 Alicante/Alacant;2006M02;2,09
03 Alicante/Alacant;2006M01;3,04
03 Alicante/Alacant;2005M12;2,58
03 Alicante/Alacant;2005M11;4,74
03 Alicante/Alacant;2005M10;4,46
03 Alicante/Alacant;2005M09;2,87
03 Alicante/Alacant;2005M08;6,04
03 Alicante/Alacant;2005M07;6,01
03 Alicante/Alacant;2005M06;3,58
03 Alicante/Alacant;2005M05;3,38
03 Alicante/Alacant;2005M04;2,55
03 Alicante/Alacant;2005M03;3,4
03 Alicante/Alacant;2005M02;3,95
03 Alicante/Alacant;2005M01;2,89
04 Almería;2026M06;2,75
04 Almería;2026M05;2,29
04 Almería;2026M04;2,25
04 Almería;2026M03;2,23
04 Almería;2026M02;2,35
04 Almería;2026M01;2,4
04 Almería;2025M12;2,22
04 Almería;2025M11;1,94
04 Almería;2025M10;2,51
04 Almería;2025M09;2,72
04 Almería;2025M08;3,33
04 Almería;2025M07;2,8
04 Almería;2025M06;2,7
04 Almería;2025M05;2,19
04 Almería;2025M04;2,45
04 Almería;2025M03;2,01
04 Almería;2025M02;2,39
04 Almería;2025M01;2,26
04 Almería;2024M12;2,24
04 Almería;2024M11;2,12
04 Almería;2024M10;2,54
04 Almería;2024M09;2,98
04 Almería;2024M08;3,47
04 Almería;2024M07;3,11
04 Almería;2024M06;2,59
04 Almería;2024M05;2,05
04 Almería;2024M04;2,39
04 Almería;2024M03;2,26
04 Almería;2024M02;2,2
04 Almería;2024M01;2,15
04 Almería;2023M12;3,13
04 Almería;2023M11;2,69
04 Almería;2023M10;2,79
04 Almería;2023M09;2,79
04 Almería;2023M08;3,87
04 Almería;2023M07;3,57
04 Almería;2023M06;2,85
04 Almería;2023M05;2,46
04 Almería;2023M04;2,87
04 Almería;2023M03;2,53
04 Almería;2023M02;2,82
04 Almería;2023M01;3,1
04 Almería;2022M12;2,95
04 Almería;2022M11;2,65
04 Almería;2022M10;2,59
04 Almería;2022M09;2,81
04 Almería;2022M08;3,37
04 Almería;2022M07;3,02
04 Almería;2022M06;2,76
04 Almería;2022M05;2,53
04 Almería;2022M04;2,84
04 Almería;2022M03;2,68
04 Almería;2022M02;2,46
04 Almería;2022M01;2,51
04 Almería;2021M12;2,76
04 Almería;2021M11;2,34
04 Almería;2021M10;2,5
04 Almería;2021M09;2,74
04 Almería;2021M08;3,78
04 Almería;2021M07;3,26
04 Almería;2021M06;2,26
04 Almería;2021M05;2,99
04 Almería;2021M04;2,98
04 Almería;2021M03;3,53
04 Almería;2021M02;7,68
04 Almería;2021M01;5,5
04 Almería;2020M12;7,88
04 Almería;2020M11;.
04 Almería;2020M10;2,38
04 Almería;2020M09;2,35
04 Almería;2020M08;4,09
04 Almería;2020M07;2,71
04 Almería;2020M06;1,83
04 Almería;2020M05;.
04 Almería;2020M04;.
04 Almería;2020M03;2,69
04 Almería;2020M02;2,29
04 Almería;2020M01;2,45
04 Almería;2019M12;2,36
04 Almería;2019M11;2,29
04 Almería;2019M10;2,72
04 Almería;2019M09;3,41
04 Almería;2019M08;3,64
04 Almería;2019M07;2,99
04 Almería;2019M06;2,53
04 Almería;2019M05;2,73
04 Almería;2019M04;2,8
04 Almería;2019M03;2,36
04 Almería;2019M02;2,12
04 Almería;2019M01;1,98
04 Almería;2018M12;2,99
04 Almería;2018M11;2,44
04 Almería;2018M10;2,5
04 Almería;2018M09;3
04 Almería;2018M08;3,61
04 Almería;2018M07;3,19
04 Almería;2018M06;2,53
04 Almería;2018M05;2,68
04 Almería;2018M04;2,52
04 Almería;2018M03;2,44
04 Almería;2018M02;2,4
04 Almería;2018M01;2,17
04 Almería;2017M12;2,37
04 Almería;2017M11;2,06
04 Almería;2017M10;2,61
04 Almería;2017M09;3,02
04 Almería;2017M08;3,48
04 Almería;2017M07;3,13
04 Almería;2017M06;2,86
04 Almería;2017M05;3,26
04 Almería;2017M04;2,5
04 Almería;2017M03;2,2
04 Almería;2017M02;2,33
04 Almería;2017M01;3,37
04 Almería;2016M12;2,67
04 Almería;2016M11;2,36
04 Almería;2016M10;2,64
04 Almería;2016M09;3,47
04 Almería;2016M08;4,44
04 Almería;2016M07;3,24
04 Almería;2016M06;2,96
04 Almería;2016M05;3,11
04 Almería;2016M04;3,06
04 Almería;2016M03;3,12
04 Almería;2016M02;2,94
04 Almería;2016M01;3,49
04 Almería;2015M12;2,33
04 Almería;2015M11;2,29
04 Almería;2015M10;2,69
04 Almería;2015M09;3,53
04 Almería;2015M08;5,11
04 Almería;2015M07;4,55
04 Almería;2015M06;3,25
04 Almería;2015M05;2,33
04 Almería;2015M04;3,1
04 Almería;2015M03;2,42
04 Almería;2015M02;2,44
04 Almería;2015M01;4,27
04 Almería;2014M12;2,74
04 Almería;2014M11;2,55
04 Almería;2014M10;3,29
04 Almería;2014M09;3,63
04 Almería;2014M08;5,72
04 Almería;2014M07;4,19
04 Almería;2014M06;3,02
04 Almería;2014M05;3,22
04 Almería;2014M04;3,36
04 Almería;2014M03;2,28
04 Almería;2014M02;1,95
04 Almería;2014M01;2,34
04 Almería;2013M12;2,42
04 Almería;2013M11;2,78
04 Almería;2013M10;2,31
04 Almería;2013M09;3,97
04 Almería;2013M08;5,6
04 Almería;2013M07;3,13
04 Almería;2013M06;2,73
04 Almería;2013M05;2,58
04 Almería;2013M04;2,63
04 Almería;2013M03;2,59
04 Almería;2013M02;1,9
04 Almería;2013M01;3,17
04 Almería;2012M12;2,12
04 Almería;2012M11;2,58
04 Almería;2012M10;3,15
04 Almería;2012M09;3,78
04 Almería;2012M08;4,17
04 Almería;2012M07;2,67
04 Almería;2012M06;2,94
04 Almería;2012M05;3,26
04 Almería;2012M04;2,28
04 Almería;2012M03;2,84
04 Almería;2012M02;2,06
04 Almería;2012M01;1,99
04 Almería;2011M12;1,95
04 Almería;2011M11;1,85
04 Almería;2011M10;2,68
04 Almería;2011M09;2,38
04 Almería;2011M08;4,29
04 Almería;2011M07;3,55
04 Almería;2011M06;3,5
04 Almería;2011M05;3,45
04 Almería;2011M04;2,54
04 Almería;2011M03;3,79
04 Almería;2011M02;2,57
04 Almería;2011M01;5,15
04 Almería;2010M12;2,85
04 Almería;2010M11;2,67
04 Almería;2010M10;3,56
04 Almería;2010M09;3,31
04 Almería;2010M08;5,71
04 Almería;2010M07;3,35
04 Almería;2010M06;2,99
04 Almería;2010M05;3,52
04 Almería;2010M04;4,33
04 Almería;2010M03;3,24
04 Almería;2010M02;1,89
04 Almería;2010M01;6,38
04 Almería;2009M12;2,14
04 Almería;2009M11;3,38
04 Almería;2009M10;3,1
04 Almería;2009M09;2,75
04 Almería;2009M08;5,51
04 Almería;2009M07;3,74
04 Almería;2009M06;2,82
04 Almería;2009M05;3,64
04 Almería;2009M04;3,23
04 Almería;2009M03;2,76
04 Almería;2009M02;2,45
04 Almería;2009M01;4,53
04 Almería;2008M12;2,65
04 Almería;2008M11;3,59
04 Almería;2008M10;2,96
04 Almería;2008M09;3,92
04 Almería;2008M08;6,58
04 Almería;2008M07;4,42
04 Almería;2008M06;2,77
04 Almería;2008M05;3,55
04 Almería;2008M04;2,49
04 Almería;2008M03;3,49
04 Almería;2008M02;2,29
04 Almería;2008M01;2,58
04 Almería;2007M12;2,78
04 Almería;2007M11;2,84
04 Almería;2007M10;2,88
04 Almería;2007M09;3,7
04 Almería;2007M08;6,01
04 Almería;2007M07;4,09
04 Almería;2007M06;2,88
04 Almería;2007M05;3,27
04 Almería;2007M04;3,46
04 Almería;2007M03;2,65
04 Almería;2007M02;1,99
04 Almería;2007M01;2,58
04 Almería;2006M12;2,95
04 Almería;2006M11;2,54
04 Almería;2006M10;3,13
04 Almería;2006M09;4,46
04 Almería;2006M08;6,61
04 Almería;2006M07;3,89
04 Almería;2006M06;3,52
04 Almería;2006M05;3,51
04 Almería;2006M04;3,29
04 Almería;2006M03;3,32
04 Almería;2006M02;2,49
04 Almería;2006M01;3,26
04 Almería;2005M12;3,67
04 Almería;2005M11;2,66
04 Almería;2005M10;3,37
04 Almería;2005M09;3,36
04 Almería;2005M08;7,33
04 Almería;2005M07;5,62
04 Almería;2005M06;5,07
04 Almería;2005M05;4,45
04 Almería;2005M04;2,76
04 Almería;2005M03;2,92
04 Almería;2005M02;2,17
04 Almería;2005M01;2,96
01 Araba/Álava;2026M06;2,15
01 Araba/Álava;2026M05;2,27
01 Araba/Álava;2026M04;2,43
01 Araba/Álava;2026M03;2,72
01 Araba/Álava;2026M02;2,71
01 Araba/Álava;2026M01;2,32
01 Araba/Álava;2025M12;2,52
01 Araba/Álava;2025M11;2,29
01 Araba/Álava;2025M10;2,18
01 Araba/Álava;2025M09;2,39
01 Araba/Álava;2025M08;4,23
01 Araba/Álava;2025M07;2,93
01 Araba/Álava;2025M06;2,33
01 Araba/Álava;2025M05;2,28
01 Araba/Álava;2025M04;2,79
01 Araba/Álava;2025M03;2,11
01 Araba/Álava;2025M02;2
01 Araba/Álava;2025M01;2,2
01 Araba/Álava;2024M12;2,38
01 Araba/Álava;2024M11;2,16
01 Araba/Álava;2024M10;2,01
01 Araba/Álava;2024M09;2,09
01 Araba/Álava;2024M08;3,09
01 Araba/Álava;2024M07;2,57
01 Araba/Álava;2024M06;2,15
01 Araba/Álava;2024M05;1,94
01 Araba/Álava;2024M04;1,98
01 Araba/Álava;2024M03;2,28
01 Araba/Álava;2024M02;1,98
01 Araba/Álava;2024M01;1,96
