Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Totales Territoriales;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2008M07;0,67
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2008M06;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2008M05;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2008M04;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2008M03;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2008M02;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2008M01;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2007M12;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2007M11;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2007M10;0
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2007M09;0,39
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2007M08;0,63
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2007M07;0,34
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2007M06;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2007M05;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2007M04;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2007M03;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2007M02;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2007M01;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2006M12;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2006M11;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2006M10;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2006M09;0,68
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2006M08;1,19
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2006M07;1,53
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2006M06;0,51
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2006M05;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2006M04;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2006M03;0
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2006M02;1,31
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2006M01;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2005M12;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2005M11;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2005M10;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2005M09;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2005M08;0,37
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2005M07;0,66
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2005M06;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2005M05;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2005M04;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2005M03;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2005M02;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;02 Aragón;2005M01;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2026M06;0,69
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2026M05;0,89
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2026M04;1,25
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2026M03;0,31
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2026M02;0,19
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2026M01;1,01
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2025M12;0,04
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2025M11;0,17
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2025M10;0,62
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2025M09;1,09
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2025M08;1,23
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2025M07;2,87
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2025M06;0,96
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2025M05;0,78
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2025M04;0,21
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2025M03;0,44
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2025M02;0,21
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2025M01;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2024M12;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2024M11;0,17
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2024M10;0,27
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2024M09;0,53
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2024M08;1,06
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2024M07;0,58
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2024M06;1,15
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2024M05;0,32
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2024M04;0,44
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2024M03;0,46
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2024M02;0,02
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2024M01;0,24
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2023M12;0,07
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2023M11;0,04
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2023M10;1,58
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2023M09;0,29
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2023M08;0,56
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2023M07;0,95
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2023M06;0,78
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2023M05;0,3
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2023M04;0,14
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2023M03;0,05
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2023M02;0,12
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2023M01;0,09
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2022M12;1,49
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2022M11;0,67
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2022M10;0,31
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2022M09;0,58
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2022M08;0,74
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2022M07;1,43
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2022M06;0,84
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2022M05;1,14
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2022M04;0,76
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2022M03;0,11
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2022M02;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2022M01;0,04
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2021M12;0,39
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2021M11;0,31
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2021M10;0,26
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2021M09;1,63
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2021M08;0,67
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2021M07;0,91
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2021M06;0,5
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2021M05;0,36
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2021M04;0,37
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2021M03;0,08
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2021M02;0,51
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2021M01;0,49
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2020M12;0,08
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2020M11;0,12
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2020M10;0,2
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2020M09;1,22
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2020M08;0,64
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2020M07;0,51
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2020M06;0,15
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2020M05;0
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2020M04;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2020M03;0,22
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2020M02;1,9
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2020M01;0,84
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2019M12;1,68
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2019M11;1,74
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2019M10;0,2
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2019M09;0,51
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2019M08;0,69
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2019M07;2,04
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2019M06;1,04
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2019M05;0,76
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2019M04;0,26
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2019M03;0,44
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2019M02;0,08
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2019M01;2,01
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2018M12;0,94
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2018M11;0,29
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2018M10;0,55
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2018M09;0,69
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2018M08;0,67
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2018M07;0,7
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2018M06;1,4
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2018M05;0,9
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2018M04;0,75
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2018M03;0,31
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2018M02;0,17
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2018M01;0,37
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2017M12;0,24
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2017M11;0,98
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2017M10;0,95
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2017M09;0,85
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2017M08;1,1
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2017M07;2,09
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2017M06;1,06
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2017M05;0,51
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2017M04;0,28
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2017M03;0,1
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2017M02;0,13
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2017M01;0,23
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2016M12;2,27
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2016M11;0,15
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2016M10;0,09
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2016M09;0,94
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2016M08;0,75
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2016M07;0,87
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2016M06;3,5
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2016M05;0,03
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2016M04;1,74
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2016M03;0,2
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2016M02;0,32
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2016M01;0,19
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2015M12;0,28
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2015M11;0,38
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2015M10;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2015M09;4,18
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2015M08;0,53
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2015M07;0,67
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2015M06;0,54
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2015M05;0,42
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2015M04;1,65
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2015M03;0,64
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2015M02;0,52
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2015M01;23,65
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2014M12;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2014M11;0,23
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2014M10;0,11
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2014M09;1,08
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2014M08;1,3
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2014M07;0,52
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2014M06;1,16
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2014M05;0,89
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2014M04;0,22
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2014M03;1,06
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2014M02;1,11
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2014M01;1,55
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2013M12;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2013M11;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2013M10;1,03
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2013M09;1,64
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2013M08;0,67
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2013M07;0,86
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2013M06;2,38
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2013M05;2,21
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2013M04;1,47
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2013M03;2,28
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2013M02;0,22
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2013M01;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2012M12;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2012M11;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2012M10;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2012M09;1,18
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2012M08;1,85
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2012M07;1,01
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2012M06;0,75
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2012M05;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2012M04;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2012M03;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2012M02;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2012M01;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2011M12;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2011M11;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2011M10;1,83
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2011M09;1,26
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2011M08;0,6
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2011M07;0,44
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2011M06;1,75
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2011M05;0,84
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2011M04;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2011M03;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2011M02;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2011M01;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2010M12;1,55
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2010M11;""
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2010M10;0,78
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2010M09;0,35
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2010M08;0,18
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2010M07;0,82
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2010M06;0,33
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2010M05;1,09
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2010M04;0
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2010M03;""
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2010M02;2,09
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2010M01;""
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2009M12;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2009M11;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2009M10;0,56
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2009M09;1,49
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2009M08;0,59
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2009M07;0,29
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2009M06;0,76
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2009M05;1,29
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2009M04;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2009M03;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2009M02;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2009M01;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2008M12;1,74
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2008M11;1,56
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2008M10;1,55
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2008M09;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2008M08;0,93
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2008M07;1,04
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2008M06;1,65
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2008M05;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2008M04;2
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2008M03;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2008M02;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2008M01;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2007M12;1,18
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2007M11;0,69
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2007M10;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2007M09;1,18
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2007M08;0,21
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2007M07;2,44
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2007M06;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2007M05;0,66
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2007M04;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2007M03;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2007M02;1,34
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2007M01;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2006M12;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2006M11;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2006M10;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2006M09;2,19
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2006M08;0,45
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2006M07;0,6
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2006M06;1,03
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2006M05;..
Total Nacional;04 Balears, Illes;Viajero;Total Nacional;03 Asturias, Principado de;2006M04;..
