Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Totales Territoriales;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;Viajero;Total Nacional;;2017M03;100
Total Nacional;;Viajero;Total Nacional;;2017M02;100
Total Nacional;;Viajero;Total Nacional;;2017M01;100
Total Nacional;;Viajero;Total Nacional;;2016M12;100
Total Nacional;;Viajero;Total Nacional;;2016M11;100
Total Nacional;;Viajero;Total Nacional;;2016M10;100
Total Nacional;;Viajero;Total Nacional;;2016M09;100
Total Nacional;;Viajero;Total Nacional;;2016M08;100
Total Nacional;;Viajero;Total Nacional;;2016M07;100
Total Nacional;;Viajero;Total Nacional;;2016M06;100
Total Nacional;;Viajero;Total Nacional;;2016M05;100
Total Nacional;;Viajero;Total Nacional;;2016M04;100
Total Nacional;;Viajero;Total Nacional;;2016M03;100
Total Nacional;;Viajero;Total Nacional;;2016M02;100
Total Nacional;;Viajero;Total Nacional;;2016M01;""
Total Nacional;;Viajero;Total Nacional;;2015M12;100
Total Nacional;;Viajero;Total Nacional;;2015M11;100
Total Nacional;;Viajero;Total Nacional;;2015M10;100
Total Nacional;;Viajero;Total Nacional;;2015M09;100
Total Nacional;;Viajero;Total Nacional;;2015M08;100
Total Nacional;;Viajero;Total Nacional;;2015M07;100
Total Nacional;;Viajero;Total Nacional;;2015M06;100
Total Nacional;;Viajero;Total Nacional;;2015M05;100
Total Nacional;;Viajero;Total Nacional;;2015M04;100
Total Nacional;;Viajero;Total Nacional;;2015M03;100
Total Nacional;;Viajero;Total Nacional;;2015M02;100
Total Nacional;;Viajero;Total Nacional;;2015M01;100
Total Nacional;;Viajero;Total Nacional;;2014M12;100
Total Nacional;;Viajero;Total Nacional;;2014M11;100
Total Nacional;;Viajero;Total Nacional;;2014M10;100
Total Nacional;;Viajero;Total Nacional;;2014M09;100
Total Nacional;;Viajero;Total Nacional;;2014M08;100
Total Nacional;;Viajero;Total Nacional;;2014M07;100
Total Nacional;;Viajero;Total Nacional;;2014M06;100
Total Nacional;;Viajero;Total Nacional;;2014M05;100
Total Nacional;;Viajero;Total Nacional;;2014M04;100
Total Nacional;;Viajero;Total Nacional;;2014M03;100
Total Nacional;;Viajero;Total Nacional;;2014M02;100
Total Nacional;;Viajero;Total Nacional;;2014M01;100
Total Nacional;;Viajero;Total Nacional;;2013M12;100
Total Nacional;;Viajero;Total Nacional;;2013M11;100
Total Nacional;;Viajero;Total Nacional;;2013M10;100
Total Nacional;;Viajero;Total Nacional;;2013M09;100
Total Nacional;;Viajero;Total Nacional;;2013M08;100
Total Nacional;;Viajero;Total Nacional;;2013M07;100
Total Nacional;;Viajero;Total Nacional;;2013M06;100
Total Nacional;;Viajero;Total Nacional;;2013M05;100
Total Nacional;;Viajero;Total Nacional;;2013M04;100
Total Nacional;;Viajero;Total Nacional;;2013M03;100
Total Nacional;;Viajero;Total Nacional;;2013M02;100
Total Nacional;;Viajero;Total Nacional;;2013M01;100
Total Nacional;;Viajero;Total Nacional;;2012M12;100
Total Nacional;;Viajero;Total Nacional;;2012M11;100
Total Nacional;;Viajero;Total Nacional;;2012M10;100
Total Nacional;;Viajero;Total Nacional;;2012M09;100
Total Nacional;;Viajero;Total Nacional;;2012M08;100
Total Nacional;;Viajero;Total Nacional;;2012M07;100
Total Nacional;;Viajero;Total Nacional;;2012M06;100
Total Nacional;;Viajero;Total Nacional;;2012M05;100
Total Nacional;;Viajero;Total Nacional;;2012M04;100
Total Nacional;;Viajero;Total Nacional;;2012M03;100
Total Nacional;;Viajero;Total Nacional;;2012M02;100
Total Nacional;;Viajero;Total Nacional;;2012M01;100
Total Nacional;;Viajero;Total Nacional;;2011M12;100
Total Nacional;;Viajero;Total Nacional;;2011M11;100
Total Nacional;;Viajero;Total Nacional;;2011M10;100
Total Nacional;;Viajero;Total Nacional;;2011M09;100
Total Nacional;;Viajero;Total Nacional;;2011M08;100
Total Nacional;;Viajero;Total Nacional;;2011M07;100
Total Nacional;;Viajero;Total Nacional;;2011M06;100
Total Nacional;;Viajero;Total Nacional;;2011M05;100
Total Nacional;;Viajero;Total Nacional;;2011M04;100
