Provincias de destino;Procedencia de los viajeros;Meses;Total
01 Araba/Álava;Total;Junio;8.290
01 Araba/Álava;Total;Julio;11.001
01 Araba/Álava;Total;Agosto;15.700
01 Araba/Álava;Total;Septiembre;8.316
01 Araba/Álava;Total;Octubre;8.437
01 Araba/Álava;Total;Noviembre;6.864
01 Araba/Álava;Total;Diciembre;6.991
01 Araba/Álava;Residentes en España;Total;69.402
01 Araba/Álava;Residentes en España;Enero;1.895
01 Araba/Álava;Residentes en España;Febrero;1.886
01 Araba/Álava;Residentes en España;Marzo;6.884
01 Araba/Álava;Residentes en España;Abril;4.584
01 Araba/Álava;Residentes en España;Mayo;5.799
01 Araba/Álava;Residentes en España;Junio;6.078
01 Araba/Álava;Residentes en España;Julio;7.246
01 Araba/Álava;Residentes en España;Agosto;11.251
01 Araba/Álava;Residentes en España;Septiembre;5.371
01 Araba/Álava;Residentes en España;Octubre;6.507
01 Araba/Álava;Residentes en España;Noviembre;5.776
01 Araba/Álava;Residentes en España;Diciembre;6.124
01 Araba/Álava;No residentes en España;Total;22.203
01 Araba/Álava;No residentes en España;Enero;257
01 Araba/Álava;No residentes en España;Febrero;606
01 Araba/Álava;No residentes en España;Marzo;931
01 Araba/Álava;No residentes en España;Abril;1.292
01 Araba/Álava;No residentes en España;Mayo;1.871
01 Araba/Álava;No residentes en España;Junio;2.212
01 Araba/Álava;No residentes en España;Julio;3.755
01 Araba/Álava;No residentes en España;Agosto;4.448
01 Araba/Álava;No residentes en España;Septiembre;2.945
01 Araba/Álava;No residentes en España;Octubre;1.930
01 Araba/Álava;No residentes en España;Noviembre;1.088
01 Araba/Álava;No residentes en España;Diciembre;867
33 Asturias;Total;Total;929.320
33 Asturias;Total;Enero;12.947
33 Asturias;Total;Febrero;14.305
33 Asturias;Total;Marzo;59.435
33 Asturias;Total;Abril;34.740
33 Asturias;Total;Mayo;60.702
33 Asturias;Total;Junio;68.864
33 Asturias;Total;Julio;186.044
33 Asturias;Total;Agosto;271.175
33 Asturias;Total;Septiembre;99.055
33 Asturias;Total;Octubre;47.930
33 Asturias;Total;Noviembre;35.792
33 Asturias;Total;Diciembre;38.330
33 Asturias;Residentes en España;Total;793.084
33 Asturias;Residentes en España;Enero;11.598
33 Asturias;Residentes en España;Febrero;12.502
33 Asturias;Residentes en España;Marzo;50.745
33 Asturias;Residentes en España;Abril;27.274
33 Asturias;Residentes en España;Mayo;47.442
33 Asturias;Residentes en España;Junio;52.781
33 Asturias;Residentes en España;Julio;163.873
33 Asturias;Residentes en España;Agosto;247.259
33 Asturias;Residentes en España;Septiembre;79.669
33 Asturias;Residentes en España;Octubre;38.790
33 Asturias;Residentes en España;Noviembre;28.146
33 Asturias;Residentes en España;Diciembre;33.003
33 Asturias;No residentes en España;Total;136.236
33 Asturias;No residentes en España;Enero;1.349
33 Asturias;No residentes en España;Febrero;1.803
33 Asturias;No residentes en España;Marzo;8.690
33 Asturias;No residentes en España;Abril;7.466
33 Asturias;No residentes en España;Mayo;13.260
33 Asturias;No residentes en España;Junio;16.083
33 Asturias;No residentes en España;Julio;22.171
33 Asturias;No residentes en España;Agosto;23.915
33 Asturias;No residentes en España;Septiembre;19.386
33 Asturias;No residentes en España;Octubre;9.139
33 Asturias;No residentes en España;Noviembre;7.646
33 Asturias;No residentes en España;Diciembre;5.327
05 Ávila;Total;Total;316.501
