Provincias de destino;Procedencia de los viajeros;Meses;Total
Araba;No Residentes;Septiembre;1.360
Araba;No Residentes;Octubre;1.059
Araba;No Residentes;Noviembre;416
Araba;No Residentes;Diciembre;388
Asturias;Total;Total;303.869
Asturias;Total;Enero;6.284
Asturias;Total;Febrero;6.697
Asturias;Total;Marzo;22.970
Asturias;Total;Abril;17.526
Asturias;Total;Mayo;25.657
Asturias;Total;Junio;29.253
Asturias;Total;Julio;52.388
Asturias;Total;Agosto;63.313
Asturias;Total;Septiembre;31.940
Asturias;Total;Octubre;20.506
Asturias;Total;Noviembre;15.520
Asturias;Total;Diciembre;11.815
Asturias;Residentes en España;Total;255.964
Asturias;Residentes en España;Enero;5.766
Asturias;Residentes en España;Febrero;5.785
Asturias;Residentes en España;Marzo;20.141
Asturias;Residentes en España;Abril;13.179
Asturias;Residentes en España;Mayo;20.223
Asturias;Residentes en España;Junio;22.330
Asturias;Residentes en España;Julio;45.187
Asturias;Residentes en España;Agosto;57.463
Asturias;Residentes en España;Septiembre;24.582
Asturias;Residentes en España;Octubre;16.893
Asturias;Residentes en España;Noviembre;13.366
Asturias;Residentes en España;Diciembre;11.050
Asturias;No Residentes;Total;47.905
Asturias;No Residentes;Enero;519
Asturias;No Residentes;Febrero;912
Asturias;No Residentes;Marzo;2.829
Asturias;No Residentes;Abril;4.347
Asturias;No Residentes;Mayo;5.434
Asturias;No Residentes;Junio;6.923
Asturias;No Residentes;Julio;7.201
Asturias;No Residentes;Agosto;5.850
Asturias;No Residentes;Septiembre;7.358
Asturias;No Residentes;Octubre;3.613
Asturias;No Residentes;Noviembre;2.154
Asturias;No Residentes;Diciembre;765
Ávila;Total;Total;125.593
Ávila;Total;Enero;3.993
Ávila;Total;Febrero;7.174
Ávila;Total;Marzo;10.574
Ávila;Total;Abril;8.489
Ávila;Total;Mayo;11.790
Ávila;Total;Junio;11.983
Ávila;Total;Julio;14.227
Ávila;Total;Agosto;15.419
Ávila;Total;Septiembre;10.659
Ávila;Total;Octubre;10.163
Ávila;Total;Noviembre;9.959
Ávila;Total;Diciembre;11.164
Ávila;Residentes en España;Total;122.265
Ávila;Residentes en España;Enero;3.930
Ávila;Residentes en España;Febrero;6.606
Ávila;Residentes en España;Marzo;10.117
Ávila;Residentes en España;Abril;8.277
Ávila;Residentes en España;Mayo;11.386
Ávila;Residentes en España;Junio;11.801
Ávila;Residentes en España;Julio;13.771
Ávila;Residentes en España;Agosto;14.988
Ávila;Residentes en España;Septiembre;10.442
Ávila;Residentes en España;Octubre;9.948
Ávila;Residentes en España;Noviembre;9.864
Ávila;Residentes en España;Diciembre;11.136
Ávila;No Residentes;Total;3.329
Ávila;No Residentes;Enero;63
Ávila;No Residentes;Febrero;568
Ávila;No Residentes;Marzo;457
Ávila;No Residentes;Abril;213
Ávila;No Residentes;Mayo;403
Ávila;No Residentes;Junio;183
Ávila;No Residentes;Julio;456
Ávila;No Residentes;Agosto;431
Ávila;No Residentes;Septiembre;217
Ávila;No Residentes;Octubre;215
Ávila;No Residentes;Noviembre;95
Ávila;No Residentes;Diciembre;28
Badajoz;Total;Total;68.659
Badajoz;Total;Enero;2.533
Badajoz;Total;Febrero;3.408
Badajoz;Total;Marzo;5.785
Badajoz;Total;Abril;5.148
Badajoz;Total;Mayo;5.434
Badajoz;Total;Junio;5.736
Badajoz;Total;Julio;7.030
Badajoz;Total;Agosto;9.416
Badajoz;Total;Septiembre;6.411
Badajoz;Total;Octubre;5.906
Badajoz;Total;Noviembre;6.099
Badajoz;Total;Diciembre;5.754
Badajoz;Residentes en España;Total;57.318
Badajoz;Residentes en España;Enero;2.229
Badajoz;Residentes en España;Febrero;2.956
Badajoz;Residentes en España;Marzo;4.915
Badajoz;Residentes en España;Abril;3.990
Badajoz;Residentes en España;Mayo;4.455
Badajoz;Residentes en España;Junio;4.890
Badajoz;Residentes en España;Julio;5.643
Badajoz;Residentes en España;Agosto;7.907
Badajoz;Residentes en España;Septiembre;5.373
Badajoz;Residentes en España;Octubre;4.572
Badajoz;Residentes en España;Noviembre;5.276
Badajoz;Residentes en España;Diciembre;5.114
Badajoz;No Residentes;Total;11.341
Badajoz;No Residentes;Enero;304
Badajoz;No Residentes;Febrero;452
Badajoz;No Residentes;Marzo;870
Badajoz;No Residentes;Abril;1.158
Badajoz;No Residentes;Mayo;979
Badajoz;No Residentes;Junio;846
Badajoz;No Residentes;Julio;1.387
Badajoz;No Residentes;Agosto;1.510
Badajoz;No Residentes;Septiembre;1.039
Badajoz;No Residentes;Octubre;1.334
Badajoz;No Residentes;Noviembre;823
Badajoz;No Residentes;Diciembre;640
Balears, Illes;Total;Total;543.976
Balears, Illes;Total;Enero;8.739
Balears, Illes;Total;Febrero;12.754
Balears, Illes;Total;Marzo;27.155
Balears, Illes;Total;Abril;47.239
Balears, Illes;Total;Mayo;64.137
Balears, Illes;Total;Junio;66.678
Balears, Illes;Total;Julio;75.197
Balears, Illes;Total;Agosto;77.789
Balears, Illes;Total;Septiembre;74.627
Balears, Illes;Total;Octubre;61.175
Balears, Illes;Total;Noviembre;15.292
Balears, Illes;Total;Diciembre;13.193
Balears, Illes;Residentes en España;Total;90.937
